,nama_brand,nama_produk,nama_sub_produk,rating_produk,total_review,nama_produk_lengkap
436,Scarlett,Eau De Parfum,Passionate,4.5,13,Eau De Parfum Passionate
437,Teratu Beauty,After Midnight Eau De Parfum,,4.5,13,After Midnight Eau De Parfum
438,HINT,Dragon EDP,,4.4,13,Dragon EDP
439,HINT,Epitome EDP,,4.4,13,Epitome EDP
440,Morris,Morris Tropical Edition - Fruity,,4.6,12,Morris Tropical Edition - Fruity
441,BRASOV,EDP Hijab Perfumes,Najwa,4.4,12,EDP Hijab Perfumes Najwa
442,Dior,Addict,Oriental Floral,4.7,12,Addict Oriental Floral
443,Hugo Boss,Femme EDP,,4.5,12,Femme EDP
444,Victoria's Secret,Bombshell EDP Rollerball,,4.4,12,Bombshell EDP Rollerball
445,Dior,J'adore Absolue,,4.9,12,J'adore Absolue
446,Diptyque,Fleur de Peau,,4.8,12,Fleur de Peau
447,Careso,Eau De Parfume,Velvet Rose,4.9,12,Eau De Parfume Velvet Rose
448,Kahf,Saffron Oud Eau De Parfum,,4.8,12,Saffron Oud Eau De Parfum
449,BRASOV,EDP Hijab Perfumes,Barra,4.5,12,EDP Hijab Perfumes Barra
450,Maison Francis Kurkdjian,Oud Satin Mood,,4.4,12,Oud Satin Mood
451,Juicy Couture,Viva La Juicy Noir,,4.5,12,Viva La Juicy Noir
452,Evangeline,Eau De Perfume Zodiac Series,Virgo,4.33,12,Eau De Perfume Zodiac Series Virgo
453,Oullu,Dia Eau de Perfume,,4.8,12,Dia Eau de Perfume
454,Givenchy,L'Interdit,,4.4,12,L'Interdit
455,Evangeline,Selection Eau De Parfum,Summer Peach,4.3,12,Selection Eau De Parfum Summer Peach
456,Miniso,Tea Series Eau De Parfum,Green Tea,3.8,12,Tea Series Eau De Parfum Green Tea
457,BYREDO,La Tulipe EDP,,4.7,12,La Tulipe EDP
458,ZARA,Rose Gourmand EDP,,4.8,12,Rose Gourmand EDP
459,Crusita,Extrait De Parfum,Scandal,4.7,12,Extrait De Parfum Scandal
