,nama_brand,nama_produk,nama_sub_produk,rating_produk,total_review,nama_produk_lengkap
678,Elie Saab,Girl of Now,Original,4.3,7,Girl of Now Original
679,Rahasia Beauty,Rahasia x Cinta Laura Goddess Water EDP,,4.3,7,Rahasia x Cinta Laura Goddess Water EDP
680,ZARA,ZARA Emotions,Fleur De Patchouli,4.7,7,ZARA Emotions Fleur De Patchouli
681,Aigner,Cara Mia EDP,,4.3,7,Cara Mia EDP
682,Dame Hauma,Sage Extrait,,4.9,7,Sage Extrait
683,Crusita,Extrait De Parfum,Es Teh Manis,4.3,7,Extrait De Parfum Es Teh Manis
684,ZARA,Amalfi Sunray,,4.6,7,Amalfi Sunray
685,Carl & Claire,Velvet EDP,,4.4,7,Velvet EDP
686,Oriflame,Love Potion EDP,Secrets,4.7,7,Love Potion EDP Secrets
687,Lolita Lempicka,L de Lolita Lempicka,Oriental Vanilla,4.4,7,L de Lolita Lempicka Oriental Vanilla
688,OUAI,Melrose Place Eau De Parfum,,4.3,7,Melrose Place Eau De Parfum
689,Hugo Boss,Hugo boss the scent for her,,4.1,7,Hugo boss the scent for her
690,BRASOV,Signature,08 JADE,4.3,7,Signature 08 JADE
691,Alchemist Fragrance,Musc Laiteux EDP,,5.0,7,Musc Laiteux EDP
692,Smells Good,Gemstone,,4.6,7,Gemstone
693,Mine.,Ethereal Thermal,,4.1,7,Ethereal Thermal
694,Mykonos,Luminos EDP,,4.6,7,Luminos EDP
695,Swana,Eau De Parfume,Moonlight,4.3,7,Eau De Parfume Moonlight
696,Evangeline,Premium Eau De Parfum,Sea Salt,4.6,7,Premium Eau De Parfum Sea Salt
697,OUAI,North Bondi,Eau De Parfum,4.0,7,North Bondi Eau De Parfum
698,HMNS Perfume,Y? Series,XY,4.7,7,Y? Series XY
699,Mine.,Unbound,,4.9,7,Unbound
700,Jeanne Arthes,Boum Women,,4.3,7,Boum Women
701,Lifti,I am Creative EDP,,4.4,7,I am Creative EDP
702,Mine.,Nordic Hygge Extrait de Parfum Fragrance Wand,,4.1,7,Nordic Hygge Extrait de Parfum Fragrance Wand
703,MS Glow,Recharge Eau de Perfume,,4.9,7,Recharge Eau de Perfume
704,Alt Perfumery,Reverie EDP,,3.9,7,Reverie EDP
705,Astree Parfumerie,A Day At The Park EDP,,4.1,7,A Day At The Park EDP
706,Etre Parfums,Rosa Tuberosa X Tities Sapoetra,,4.6,7,Rosa Tuberosa X Tities Sapoetra
707,Vitalis,Eau de Royale Her Highness,,4.3,7,Eau de Royale Her Highness
708,Luxcrime,Eau De Parfum,P.S. I Love You,4.6,7,Eau De Parfum P.S. I Love You
709,Evangeline,Premium Eau De Parfum,French Pear,4.6,7,Premium Eau De Parfum French Pear
710,Ready Set Perfumery,Sheila Arief Collection EDP,Chateau of Secret,4.7,7,Sheila Arief Collection EDP Chateau of Secret
711,Rihanna,Rebelle,Gourmand,4.4,7,Rebelle Gourmand
712,Elizabeth Arden,Arden Beauty Woman,FLOWERY,4.6,7,Arden Beauty Woman FLOWERY
713,Jeanne Arthes,Sultan Women,,4.3,7,Sultan Women
714,Escada,MAGNETISM FOR WOMEN,ORIENTAL VANILLA,4.9,7,MAGNETISM FOR WOMEN ORIENTAL VANILLA
715,Anna Sui,Romantica Exotica Eau de Parfum,,4.7,7,Romantica Exotica Eau de Parfum
716,Victoria's Secret,Bombshell In Bloom EDP,,4.4,7,Bombshell In Bloom EDP
717,Carl & Claire,Lovely EDP,,4.43,7,Lovely EDP
718,Ella Skincare,Eau De Parfum,Dancing Queen,4.9,7,Eau De Parfum Dancing Queen
719,Implora,Eau De Parfum Woman,Pink Ribbon,3.6,7,Eau De Parfum Woman Pink Ribbon
720,Project 1945,Nusantara's Embrace EDP,,4.6,7,Nusantara's Embrace EDP
721,Kitschy,Fairytale Extrait de Perfume,,4.6,7,Fairytale Extrait de Perfume
722,Project 1945,Fields of Ubud EDP,,4.3,7,Fields of Ubud EDP
723,Oriflame,Infinita Eau de Parfume,,4.7,7,Infinita Eau de Parfume
724,Morris,EDP Glam Edition,So Pretty,4.6,7,EDP Glam Edition So Pretty
725,Tom Ford,Bitter Peach Eau de Parfum,,4.9,7,Bitter Peach Eau de Parfum
726,Annick Goutal,Petite Cherie,Floral,4.6,7,Petite Cherie Floral
727,Burberry,Body Tender,Floral,4.3,7,Body Tender Floral
728,BVLGARI,Goldea Eau de Parfum,,4.4,7,Goldea Eau de Parfum
729,Oullu,Aether Eau de Perfume,,4.4,7,Aether Eau de Perfume
730,Morris,Goddess Eau de Parfum,,4.1,7,Goddess Eau de Parfum
731,Marc Jacobs,Perfect,,4.6,7,Perfect
732,Ready Set Perfumery,Signature Collection EDP,Petite Garden,4.6,7,Signature Collection EDP Petite Garden
733,Cote D'Azur,Enigma Eau de Parfum,,5.0,7,Enigma Eau de Parfum
734,Mine.,Spring Ikigai Extrait de Parfum Fragrance Wand,,3.7,6,Spring Ikigai Extrait de Parfum Fragrance Wand
735,Lancome,Poeme,Oriental,4.3,6,Poeme Oriental
736,Hugo Boss,Jour Pour Femme EDP,,4.5,6,Jour Pour Femme EDP
737,Burberry,Brit Women EDP,,3.8,6,Brit Women EDP
738,Jeanne Arthes,Amore Mio EDP,Forever,4.33,6,Amore Mio EDP Forever
739,Viktor and Rolf,BonBon,,4.33,6,BonBon
740,Gucci,Flora Gorgeus Gardenia Eau De Parfum,,5.0,6,Flora Gorgeus Gardenia Eau De Parfum
741,BIES,Intense EDP,,4.7,6,Intense EDP
742,Alien Objects,Pupuce,,4.8,6,Pupuce
743,Regazza,Femme Eau De Parfumée De Luxe,Fascinating,4.7,6,Femme Eau De Parfumée De Luxe Fascinating
744,Labcitane,Extrait de Parfum,Rose Peony,4.0,6,Extrait de Parfum Rose Peony
745,Skinouru,Eau de Parfum,Rose Reverie,5.0,6,Eau de Parfum Rose Reverie
746,Dolce & Gabbana,Pour Femme,"Vanilla, Sandalwood, Citrus, Jasmine, Orange Blossom, Heliotrope, Guimauve Marshmallow, Neroli, Rasp",4.8,6,"Pour Femme Vanilla, Sandalwood, Citrus, Jasmine, Orange Blossom, Heliotrope, Guimauve Marshmallow, Neroli, Rasp"
747,BRASOV,Signature,06 Pearl,4.8,6,Signature 06 Pearl
748,Careso,Eau De Parfume,French Vanilla,4.2,6,Eau De Parfume French Vanilla
749,Mykonos,Zeus EDP,,5.0,6,Zeus EDP
750,Maison Margiela,Under The Lemon Trees,Under The Lemon Trees,4.7,6,Under The Lemon Trees Under The Lemon Trees
751,Bon Parfumeur,"202 Watermelon, Red Currant, Jasmine",,5.0,6,"202 Watermelon, Red Currant, Jasmine"
752,BIES,Idealist EDP,,4.3,6,Idealist EDP
753,Victoria's Secret,Tease Rebel EDP,,4.7,6,Tease Rebel EDP
754,Prada,Milano,,4.5,6,Milano
755,Mustika Ratu,EDP Tropical Fruit,,4.3,6,EDP Tropical Fruit
756,Calvin Klein,Escape,,4.5,6,Escape
757,Prada,La Femme Prada,,4.7,6,La Femme Prada
758,Bath and Body Works,Into The Night Eau de Parfum,Into The Night,4.33,6,Into The Night Eau de Parfum Into The Night
759,Morris,Morris Teen Superhero Wonder woman,Wonder woman,4.3,6,Morris Teen Superhero Wonder woman Wonder woman
760,Akiko Beauty,Perfume,Peonia,4.8,6,Perfume Peonia
761,Evangeline,Eau De Perfume Zodiac Series,Scorpio,4.2,6,Eau De Perfume Zodiac Series Scorpio
762,Unke Naru,Eau De Parfum,Suga Bourbon,4.5,6,Eau De Parfum Suga Bourbon
763,Project 1945,Samosir EDP,,4.7,6,Samosir EDP
764,The Body Tale,Summer Splash,,4.3,6,Summer Splash
765,Teratu Beauty,Eau de Parfum,White,4.5,6,Eau de Parfum White
766,NIDHI,Skinwalker Extrait De Parfum,,4.8,6,Skinwalker Extrait De Parfum
767,Fetch,Arabesque,,4.2,6,Arabesque
768,Kim Kardashian,Signature Women,,3.7,6,Signature Women
769,Gucci,Premiere by GUCCI,floral,4.1,6,Premiere by GUCCI floral
770,Emporio Armani,Because It's You,100ml,4.7,6,Because It's You 100ml
771,Nina Ricci,Premier Jour,,4.5,6,Premier Jour
772,Bali Surfer's Perfume,Kuta 7 AM,,5.0,6,Kuta 7 AM
773,Carl & Claire,Classic EDP,,4.8,6,Classic EDP
774,ZARA,Waterlily Tea Dress,,4.8,6,Waterlily Tea Dress
775,Project 1945,Apresiasi EDP,,4.5,6,Apresiasi EDP
776,Dior,Pure Poison Eau De Parfum,,4.2,6,Pure Poison Eau De Parfum
777,Evangeline,Garden Series Eau De Parfum,Alba,4.2,6,Garden Series Eau De Parfum Alba
778,Mother of Pearl,Mother Of Perfumery,Mystical Desert,4.3,6,Mother Of Perfumery Mystical Desert
779,Morris,Morris Lifestyle Edition,Metropolis,4.5,6,Morris Lifestyle Edition Metropolis
780,ZARA,ZARA x Jo Malone,Tubereuse Noir,4.8,6,ZARA x Jo Malone Tubereuse Noir
781,BIES,I just Love It EDP,,4.3,6,I just Love It EDP
782,Estee Lauder,Pleasures Eau de Parfum,Oriental,4.7,6,Pleasures Eau de Parfum Oriental
783,Narciso Rodriguez,Narciso,,4.5,6,Narciso
784,Evangeline,Eau De Perfume Zodiac Series,Pisces,4.67,6,Eau De Perfume Zodiac Series Pisces
785,Luxcrime,Eau De Parfum,Always & Forever,4.3,6,Eau De Parfum Always & Forever
786,Mother of Pearl,Mother Of Perfumery,Intoxicating Love,4.0,6,Mother Of Perfumery Intoxicating Love
787,Careso,Eau De Parfume,Oud Rouge,4.5,6,Eau De Parfume Oud Rouge
788,Perfume Republic,Lady Korloff,,4.7,6,Lady Korloff
789,HMNS Perfume,Theta,,4.3,6,Theta
790,Lifti,I am Calm EDP,,4.5,6,I am Calm EDP
791,Britney Spears,Fantasy Twist,,4.4,6,Fantasy Twist
792,Oriflame,Precious,Amber,4.8,6,Precious Amber
793,Victoria's Secret,Bombshell Summer EDP,,4.8,6,Bombshell Summer EDP
794,Versace,Yellow Diamond Intense,,5.0,6,Yellow Diamond Intense
795,USUAL/SCENTLAB,Eau De Parfum,Smells Like Nothing,4.2,6,Eau De Parfum Smells Like Nothing
796,Citizens of The World,Madison Avenue,,4.5,6,Madison Avenue
797,Geamoore,Addicted Parfum,Peach Cookies,4.8,6,Addicted Parfum Peach Cookies
798,ZARA,Golden Decade,,4.8,6,Golden Decade
799,ZARA,Cherry Smoothie,,4.5,6,Cherry Smoothie
800,Layr Fragrance,Extrait De Parfum,Before Petrichor,4.8,6,Extrait De Parfum Before Petrichor
801,ZARA,Fleur d'Oranger,,4.5,6,Fleur d'Oranger
802,Alchemist Fragrance,Cachemire EDP,,4.8,6,Cachemire EDP
803,Alchemist Fragrance,Bois et Music EDP,,4.8,6,Bois et Music EDP
804,Rahasia Beauty,Summerscent x Rahasia Beauty,Rose Riot,4.3,6,Summerscent x Rahasia Beauty Rose Riot
805,Project 1945,The Great Batavia EDP,,4.5,6,The Great Batavia EDP
806,Lancome,Miracle Blossom,,5.0,5,Miracle Blossom
807,Victoria's Secret,Love EDP,,4.4,5,Love EDP
808,BVLGARI,Allegra Baciami Eau de Parfum,,4.4,5,Allegra Baciami Eau de Parfum
809,Moschino,Moschino Toy Boy,,4.6,5,Moschino Toy Boy
810,Miniso,Gift of Plant,Spring Roam,4.0,5,Gift of Plant Spring Roam
811,ZARA,Rose Gold EDP,,5.0,5,Rose Gold EDP
812,Avicenna,Diamond,,4.6,5,Diamond
813,Avicenna,Solitaire,Jade,4.0,5,Solitaire Jade
814,Le Labo,Thé Matcha 26,,4.6,5,Thé Matcha 26
815,Pinkberry,EDP Emily In Paris,Mon Coeur,4.4,5,EDP Emily In Paris Mon Coeur
816,Calvin Klein,Eternity Summer 2014,Mandarin Orange Bamboo Leaf Pear Watermelon,4.0,5,Eternity Summer 2014 Mandarin Orange Bamboo Leaf Pear Watermelon
817,FM by Federico Mahora,FM17,Floral,4.9,5,FM17 Floral
818,Victoria's Secret,Fearless EDP,,3.6,5,Fearless EDP
819,Mykonos,Nashi Pear Garden EDP,,4.4,5,Nashi Pear Garden EDP
820,Maison Francis Kurkdjian,Gentle Fluidity Gold,EDP,4.6,5,Gentle Fluidity Gold EDP
821,Avicenna,Starburst Eau De Parfum,,4.6,5,Starburst Eau De Parfum
822,Implora,Eau De Parfum Woman,Magnificent,4.4,5,Eau De Parfum Woman Magnificent
823,Swana,Eau De Parfume,Stardust,4.4,5,Eau De Parfume Stardust
824,Etre Parfums,DEUX Chapter I,Tout Feu Tout Flamme,4.8,5,DEUX Chapter I Tout Feu Tout Flamme
825,Crusita,Scent of Indonesia Extrait De Parfum,Mystique of Java,4.4,5,Scent of Indonesia Extrait De Parfum Mystique of Java
826,Madame Gie,Fragrantics Parfume Unisex,Guinevere,4.4,5,Fragrantics Parfume Unisex Guinevere
827,Crusita,X Melaney Ricardo Extrait De Parfum,First Kiss,4.6,5,X Melaney Ricardo Extrait De Parfum First Kiss
828,Jeanne Arthes,Guipure & Silk Ylang Vanille Woman,Oriental Vanilla,4.2,5,Guipure & Silk Ylang Vanille Woman Oriental Vanilla
829,YN Perfumery,Eau De Parfum,Sunset Hour,4.6,5,Eau De Parfum Sunset Hour
830,Lancome,La Vie Est Belle Flowers of Happiness EDP,,4.2,5,La Vie Est Belle Flowers of Happiness EDP
831,Carl & Claire,Essensa EDP,,4.2,5,Essensa EDP
832,Carl & Claire,Triple Floral Edition EDP,,4.8,5,Triple Floral Edition EDP
833,Fetch,Johakyu,,4.4,5,Johakyu
834,Evangeline,Garden Series Eau De Parfum,Peony,4.0,5,Garden Series Eau De Parfum Peony
835,Mykonos,California Dreamer's Collection EDP,,4.4,5,California Dreamer's Collection EDP
836,Giorgio Armani,Giorgio Armani,Sky Di Gioia,4.8,5,Giorgio Armani Sky Di Gioia
837,Lanvin,Jeanne Lanvin for women,Floral Fruity,4.8,5,Jeanne Lanvin for women Floral Fruity
838,Sophie Martin,Sophie Martin Eu De Perfume,Sophie Martin Eu De Perfume Wanderkiss 55 ml,3.8,5,Sophie Martin Eu De Perfume Sophie Martin Eu De Perfume Wanderkiss 55 ml
839,Dior,Oud Ispahan,,3.2,5,Oud Ispahan
840,Rahasia Beauty,Summerscent x Rahasia Beauty,Jasmine Joy,4.4,5,Summerscent x Rahasia Beauty Jasmine Joy
841,Gatsby,Eau de Bleu,Air Code,4.6,5,Eau de Bleu Air Code
842,Layr Fragrance,Extrait De Parfum,Chronic Tonic,4.8,5,Extrait De Parfum Chronic Tonic
843,Guess,Gold,Woody,4.4,5,Gold Woody
844,Hipnoza,Eau De Parfum,Nine,5.0,5,Eau De Parfum Nine
845,Dior,Sauvage Elixir,,4.2,5,Sauvage Elixir
846,Pucelle,Eau De Luxe Parfum,The Beta,4.4,5,Eau De Luxe Parfum The Beta
847,Lilith & Eve,Daisy EDP,,4.6,5,Daisy EDP
848,Morris,Eau De Parfum Black Edition,N-23 Aquatic,4.2,5,Eau De Parfum Black Edition N-23 Aquatic
849,Rahasia Beauty,Love Petals,,4.8,5,Love Petals
850,Saff & Co.,Morfosia Extrait de Parfum,,5.0,5,Morfosia Extrait de Parfum
851,Mercredi,Perfumery,La Poesi,4.8,5,Perfumery La Poesi
852,Diary,Eau De Parfume,Spring In Tokyo,4.4,5,Eau De Parfume Spring In Tokyo
853,ZARA,Boldly Seoul,,4.6,5,Boldly Seoul
854,Morris,Lifestyle Edition,Creative,3.8,5,Lifestyle Edition Creative
855,Balenciaga,Mancera Instant Crush,,4.2,5,Mancera Instant Crush
856,Bon Parfumeur,"702 Incense, Lavender, Cashmere wood",,5.0,5,"702 Incense, Lavender, Cashmere wood"
857,Bon Parfumeur,"101 Rose, Sweet Pea, White Cedar",,4.4,5,"101 Rose, Sweet Pea, White Cedar"
858,Bon Parfumeur,"103 Tiare Flower, Jasmine, Hibiscus",,5.0,5,"103 Tiare Flower, Jasmine, Hibiscus"
859,Carl & Claire,Enchantée EDP - Emily in Paris Edition,,5.0,5,Enchantée EDP - Emily in Paris Edition
860,Carl & Claire,Triple Romantic Edition  EDP,,5.0,5,Triple Romantic Edition  EDP
861,Carl & Claire,Oceanic EDP,,4.0,5,Oceanic EDP
862,Fetch,Otea,,4.2,5,Otea
863,Giorgio Armani,Kilian Angels’ Share,,4.8,5,Kilian Angels’ Share
864,House of Medici,Eau De Parfum,Maria De Constantine,4.8,5,Eau De Parfum Maria De Constantine
865,Oriflame,Luminescence,,4.6,5,Luminescence
866,Sisley,Eau du Soir,,4.3,5,Eau du Soir
867,Avicenna,Amethyst,,3.8,5,Amethyst
868,Victoria's Secret,Body by Victoria EDP,,5.0,5,Body by Victoria EDP
869,Aigner,Cara Mia Ti Amo EDP,,5.0,5,Cara Mia Ti Amo EDP
870,Oriflame,Giordani Gold White Original EDP,,5.0,5,Giordani Gold White Original EDP
871,House of Medici,Eau De Parfum,Paradise Reservoir,4.6,5,Eau De Parfum Paradise Reservoir
872,Premiere Beaute,Fashion Neon Perfume,Moonlight,4.8,5,Fashion Neon Perfume Moonlight
873,Onix,Fresh Book Passion,,4.0,5,Fresh Book Passion
874,Polka Cosmetics,Eau de Parfum,Melt Away,3.6,5,Eau de Parfum Melt Away
875,Mother of Pearl,Mother Of Perfumery,Couture Black Dress,4.8,5,Mother Of Perfumery Couture Black Dress
876,Mine.,Opulence,Vanilla Caviar,4.6,5,Opulence Vanilla Caviar
877,Etre Parfums,Bouquet De Joie,,4.6,5,Bouquet De Joie
878,Blissbeau Parfume,Just De Kiwi,,4.8,5,Just De Kiwi
879,Elvicto,10PM EDP,,4.8,5,10PM EDP
880,Aesop,Marrakech Intense,,4.8,5,Marrakech Intense
881,Regazza,Femme Eau De Parfumée De Luxe,Sparkling,4.8,5,Femme Eau De Parfumée De Luxe Sparkling
882,House of Medici,Eau De Parfum,Devil In A New Dress,4.0,5,Eau De Parfum Devil In A New Dress
883,Estee Lauder,Luxury Fragrance,Dream Dusk,5.0,5,Luxury Fragrance Dream Dusk
884,Oriflame,Possess The Secret EDP,Floral Fruty Woody,4.8,5,Possess The Secret EDP Floral Fruty Woody
885,BVLGARI,Goldea Roman Night Eau de Parfum,,4.8,5,Goldea Roman Night Eau de Parfum
886,ZARA,Zara Woman Gold,"Jasmine, Gardenie,Honey",4.8,5,"Zara Woman Gold Jasmine, Gardenie,Honey"
887,Juicy Couture,Juicy Couture Eau De Parfum Spray,Vaporisateur,4.4,5,Juicy Couture Eau De Parfum Spray Vaporisateur
888,Geamoore,Addicted Parfum,Cotton Candy,4.2,5,Addicted Parfum Cotton Candy
889,Citizens of The World,Spice Souk,,4.6,5,Spice Souk
890,BIES,Roses for Women,,2.2,5,Roses for Women
891,Bon Parfumeur,"102 Tea, Cardamom, Mimosa",,5.0,5,"102 Tea, Cardamom, Mimosa"
892,La Collina Toscana,Borgo Delle Stelle,,4.0,5,Borgo Delle Stelle
893,Morris,Eau De Parfum Travel Edition,Hokaido,4.4,5,Eau De Parfum Travel Edition Hokaido
894,Mustika Ratu,Olive Eau de Parfum,,4.4,5,Olive Eau de Parfum
895,Lanvin,Jeanne Lanvin Couture,Floral Fruity,4.6,5,Jeanne Lanvin Couture Floral Fruity
896,Burberry,Brit Eau De Parfum,Fresh Scent Crisp Green Almond,3.1,5,Brit Eau De Parfum Fresh Scent Crisp Green Almond
897,Oriflame,Ascendant Aqua,,5.0,5,Ascendant Aqua
898,Narciso Rodriguez,Narciso Rouge,,4.8,5,Narciso Rouge
899,Polka Cosmetics,Birth Date Extrait De Parfum,,4.8,5,Birth Date Extrait De Parfum
900,Mother of Pearl,Mother Of Perfumery,Purple Royale,5.0,5,Mother Of Perfumery Purple Royale
901,Hipnoza,Eau De Parfum,Seven,4.6,5,Eau De Parfum Seven
902,Jarte Beauty,Scandal Eau De Parfum X Dillah Probokusumo,,4.8,5,Scandal Eau De Parfum X Dillah Probokusumo
903,Polka Cosmetics,Eau de Parfum,Placid Dream,4.8,5,Eau de Parfum Placid Dream
904,HINT,Delicate EDP,,5.0,5,Delicate EDP
905,HMNS Perfume,Untitled Humans Aroma 02,,5.0,5,Untitled Humans Aroma 02
906,Scarlett,La Foret Fairy EDP,,3.8,5,La Foret Fairy EDP
907,Lancome,La Vie Belle L'Eclat,,5.0,5,La Vie Belle L'Eclat
908,Gucci,Gucci Nettare Di Fiori,,4.6,5,Gucci Nettare Di Fiori
909,Dolce & Gabbana,Dolce Garden Eau de Parfum,,5.0,5,Dolce Garden Eau de Parfum
910,Miniso,Maidens Prayer Eau de Parfum,Iris & Cloud,5.0,5,Maidens Prayer Eau de Parfum Iris & Cloud
911,ZARA,Fashionably London,,5.0,5,Fashionably London
912,BIES,Tres Belle EDP,,5.0,5,Tres Belle EDP
913,Fetch,Slow Waltz,,3.8,5,Slow Waltz
914,Sofia Vergara,Sofia,Woody,4.3,5,Sofia Woody
915,Dolce & Gabbana,ROSA EXCELSA,,4.8,5,ROSA EXCELSA
916,Oriflame,Mirage,Balsamic,4.8,5,Mirage Balsamic
917,Moschino,Fresh Gold Eau de Parfum,,4.2,5,Fresh Gold Eau de Parfum
918,Avicenna,Rouge,,5.0,5,Rouge
919,Mykonos,It's Not Ella EDP,,2.4,5,It's Not Ella EDP
920,Morris,Eau De Parfum Black Edition,N-01 Oud,3.4,5,Eau De Parfum Black Edition N-01 Oud
921,Rumah Atsiri,Kembang Setaman Tuberose Eau de Parfum,,4.8,5,Kembang Setaman Tuberose Eau de Parfum
922,Buttonscarves Beauty,Eau De Parfum,Capri,5.0,5,Eau De Parfum Capri
923,Luxcrime,Eau De Parfum,XOXO,4.6,5,Eau De Parfum XOXO
924,Guerlain,La Petite Robe Noire,,4.8,4,La Petite Robe Noire
925,The Body Shop,White Musk,Radical,3.8,4,White Musk Radical
926,Tom Ford,White Suede,,3.8,4,White Suede
927,L'Occitane,Terre de Lumière Eau de Parfum Purse Spray,,4.5,4,Terre de Lumière Eau de Parfum Purse Spray
928,Oriflame,So Fever Together Her Eau de Parfum,,4.8,4,So Fever Together Her Eau de Parfum
929,Vitalis,Eau de Glamour Hijab,Chic,4.8,4,Eau de Glamour Hijab Chic
930,Mykonos,British Pear & Freesia Delight EDP,,4.8,4,British Pear & Freesia Delight EDP
931,Morris,Eau De Parfum Travel Edition,Bali,4.0,4,Eau De Parfum Travel Edition Bali
932,Fetch,Indische,,4.3,4,Indische
933,Bon Parfumeur,"301 Sandalwood, Amber, Cardamom",,5.0,4,"301 Sandalwood, Amber, Cardamom"
934,Bon Parfumeur,902 Armagnac Blond Tobacco Cinnamon,,5.0,4,902 Armagnac Blond Tobacco Cinnamon
935,BVLGARI,BLV Pour Femme,,4.8,4,BLV Pour Femme
936,Banana Republic,W Banana Republic for Women,Floral,4.8,4,W Banana Republic for Women Floral
937,Dsquared2,She Wood EDP 100ml,"Lemon, Jasmine, Neroli",4.8,4,"She Wood EDP 100ml Lemon, Jasmine, Neroli"
938,Victoria's Secret,Dark Angel EDP,,4.75,4,Dark Angel EDP
939,Estee Lauder,Estee Lauder Modern Muse,Le Rouge,4.3,4,Estee Lauder Modern Muse Le Rouge
940,Dior,Vanilla Diorama,,3.25,4,Vanilla Diorama
941,Burberry,My Burberry Blush EDP,,4.75,4,My Burberry Blush EDP
942,Lumecolors,Scents Of Confidence Eau De Parfume,Morning Blossom,4.75,4,Scents Of Confidence Eau De Parfume Morning Blossom
943,Victoria's Secret,Angel Silver EDP Rollerball,,4.3,4,Angel Silver EDP Rollerball
944,Senswell,Jessica Quin,Blue,3.75,4,Jessica Quin Blue
945,ZARA,Oriental Gourmand,Oriental Gourmand EDP Intense 100 ml,4.8,4,Oriental Gourmand Oriental Gourmand EDP Intense 100 ml
946,Princesse Marina De Bourbon,Cristal D’or,,4.5,4,Cristal D’or
947,Swana,Eau De Parfume,Skydream,3.8,4,Eau De Parfume Skydream
948,Evangeline,Eau de Perfume Musk Series,Violet Musk,4.3,4,Eau de Perfume Musk Series Violet Musk
949,YN Perfumery,Garden Of Spring Eau De Parfum,,4.3,4,Garden Of Spring Eau De Parfum
950,Skinouru,Eau de Parfum,Vanilla Velvet,4.8,4,Eau de Parfum Vanilla Velvet
951,Project 1945,x CJ Horas EDP,,3.8,4,x CJ Horas EDP
952,Crusita,Extrait De Parfum,Busy Day,4.8,4,Extrait De Parfum Busy Day
953,The Body Tale,Spice Nomad EDP,,5.0,4,Spice Nomad EDP
954,Aesop,Tacit,,4.8,4,Tacit
955,Verites,After The Rain EDP,,4.3,4,After The Rain EDP
956,Mykonos,Pandan Sticky Rice EDP,,3.5,4,Pandan Sticky Rice EDP
957,Mercredi,Perfumery,La Reverie,5.0,4,Perfumery La Reverie
958,Jean Paul Gaultier,LA BELLE,,3.8,4,LA BELLE
959,Avicenna,VIP Woman,,5.0,4,VIP Woman
960,Evangeline,Eau De Perfume Zodiac Series,Gemini,4.0,4,Eau De Perfume Zodiac Series Gemini
961,Evangeline,Eau De Perfume Zodiac Series,Aries,5.0,4,Eau De Perfume Zodiac Series Aries
962,BIES,Eau De Sicily EDP,,4.0,4,Eau De Sicily EDP
963,Carl & Claire,Yes EDP,,4.5,4,Yes EDP
964,Rue Pergolese,Gold,,4.5,4,Gold
965,Pinkberry,Eau De Parfume Dream,,4.0,4,Eau De Parfume Dream
966,Alien Objects,Mecca,,4.5,4,Mecca
967,USUAL/SCENTLAB,Eau De Parfum,Out of Shower,4.0,4,Eau De Parfum Out of Shower
968,Teratu Beauty,Body & the Scents of Teratu Beauty EDP,Vintage Rose,4.8,4,Body & the Scents of Teratu Beauty EDP Vintage Rose
969,Bourjois,Glamour Lovely,Fruity Sweet,4.5,4,Glamour Lovely Fruity Sweet
970,BVLGARI,Mon Jasmin Noir L Elixir,Floral,4.8,4,Mon Jasmin Noir L Elixir Floral
971,Senswell,Eau De Perfume,White Cotton,4.5,4,Eau De Perfume White Cotton
972,Brunbrun Paris,Gemini Eau De Toilette,,3.75,4,Gemini Eau De Toilette
973,Carl & Claire,Captain EDP,,4.0,4,Captain EDP
974,Crown Parfumes,Al Rehab Sultan,,4.8,4,Al Rehab Sultan
975,Dior,MAISON CHRISTIAN DIOR PERFUME,HOLY PEONY,5.0,4,MAISON CHRISTIAN DIOR PERFUME HOLY PEONY
976,Polka Cosmetics,Eau de Parfum,After Hours,4.0,4,Eau de Parfum After Hours
977,BRASOV,Signature,12 Turquoise,4.8,4,Signature 12 Turquoise
978,Lumecolors,Amande Eu De Parfum,,4.5,4,Amande Eu De Parfum
979,Evangeline,Eau De Perfume Bloom Series,Sophie,4.3,4,Eau De Perfume Bloom Series Sophie
980,Citizens of The World,Olympia,,4.5,4,Olympia
981,Vitalis,Eau de Royale,Charming Majesty,4.5,4,Eau de Royale Charming Majesty
982,Evangeline,Premium Eau De Parfum,Flora Gardenia,5.0,4,Premium Eau De Parfum Flora Gardenia
983,Verites,Blooming Amoure EDP,,4.8,4,Blooming Amoure EDP
984,Never Not Official,Date of Birth,,5.0,4,Date of Birth
985,Bonavie,Eau De Parfum,Madeleine Et Glace,4.5,4,Eau De Parfum Madeleine Et Glace
986,Elie Saab,Girl of Now,Forever,4.3,4,Girl of Now Forever
987,HINT,Jeans EDP,,5.0,4,Jeans EDP
988,Alt Perfumery,Uptown EDP,,4.3,4,Uptown EDP
989,Bath and Body Works,A Thousand Wishes,,4.3,4,A Thousand Wishes
990,Avicenna,Crystal,,4.8,4,Crystal
991,Morris,Diva Eau De Parfum,,4.0,4,Diva Eau De Parfum
992,Bon Parfumeur,"501 Praline, Licorice, Patchoulli",,5.0,4,"501 Praline, Licorice, Patchoulli"
993,Bon Parfumeur,"001 Orange Blossom, Petite Grain, Bergamot",,5.0,4,"001 Orange Blossom, Petite Grain, Bergamot"
994,Carl & Claire,Dream Catcher Night EDP,,5.0,4,Dream Catcher Night EDP
